liteapi_hotel_id,hotel_name,city,country,has_prayer_room,halal_food_onsite,halal_food_nearby,alcohol_free,women_only_facilities,qibla_direction,prayer_mat_available,near_mosque_m,source_notes
lp56e8e,Raffles Makkah Palace,Makkah,SA,,,,,,,,,
lp5965a,Makkah Clock Royal Tower A Fairmont Hotel,Makkah,SA,,,,,,,,,
lp81b05,Jabal Omar Hyatt Regency Makkah,Makkah,SA,,,,,,,,,
lp82798,Conrad Jabal Omar Makkah,Makkah,SA,,,,,,,,,
lpa8d3c,Hilton Hotel & Convention Jabal Omar Makkah,Makkah,SA,,,,,,,,,
lp1fedd6,Doubletree By Hilton Jabal Omar Makkah,Makkah,SA,,,,,,,,,
lp65585375,Novotel Makkah Thakher City,Makkah,SA,,,,,,,,,
lp656d896c,Address Jabal Omar Makkah,Makkah,SA,,,,,,,,,
lp2b60c,Anwar Al Madinah Mövenpick Hotel,Madinah,SA,,,,,,,,,
lp4eadf,InterContinental Dar Al Hijra Madinah by IHG,Madinah,SA,,,,,,,,,
lp5535f,Intercontinental Madinah - Dar Al Iman by IHG,Madinah,SA,,,,,,,,,
lp5b36c,Madinah Hilton,Madinah,SA,,,,,,,,,
lp5b584,Sofitel Shahd Al Madinah,Madinah,SA,,,,,,,,,
lp6842b,Crowne Plaza Madinah by IHG,Madinah,SA,,,,,,,,,
lp6bce2,Dallah Taibah Hotel,Madinah,SA,,,,,,,,,
lpb3c9b,Saja Al Madinah Hotel,Madinah,SA,,,,,,,,,
lp1f85b,Conrad Istanbul Bosphorus,Istanbul,TR,,,,,,,,,
lp6a1c2,Radisson Blu Hotel Istanbul Sisli,Istanbul,TR,,,,,,,,,
lp6a87c,Hilton Istanbul Bomonti,Istanbul,TR,,,,,,,,,
lp6f3c8,Sura Hagia Sophia Hotel,Istanbul,TR,,,,,,,,,
lp834af,Crowne Plaza Florya Istanbul by IHG,Istanbul,TR,,,,,,,,,
lp8a2f3,Radisson Blu Hotel Istanbul Ottomare,Istanbul,TR,,,,,,,,,
lp9db20,Fairmont Quasar Istanbul Hotel,Istanbul,TR,,,,,,,,,
lp65572390,Address Istanbul,Istanbul,TR,,,,,,,,,
lp1abe0,JW Marriott Kuala Lumpur,Kuala Lumpur,MY,,,,,,,,,
lp23838,Sunway Resort Hotel,Kuala Lumpur,MY,,,,,,,,,
lp64e44,Grand Hyatt Kuala Lumpur,Kuala Lumpur,MY,,,,,,,,,
lp18e557,Pavilion Hotel Kuala Lumpur Managed by Banyan Tree,Kuala Lumpur,MY,,,,,,,,,
lp6556a9f4,EQ Kuala Lumpur,Kuala Lumpur,MY,,,,,,,,,
lp6558980f,Pan Pacific Serviced Suites Kuala Lumpur,Kuala Lumpur,MY,,,,,,,,,
lp1ed7e,Pan Pacific Singapore,Singapore,SG,,,,,,,,,
lp235eb,PARKROYAL COLLECTION Marina Bay Singapore,Singapore,SG,,,,,,,,,
lp2f0a1,The Fullerton Hotel Singapore,Singapore,SG,,,,,,,,,
lp42115,Crowne Plaza Changi Airport by IHG,Singapore,SG,,,,,,,,,
lp52e1e,Marina Bay Sands,Singapore,SG,,,,,,,,,
lp66dcf,PARKROYAL COLLECTION Pickering Singapore,Singapore,SG,,,,,,,,,
lp18d518,Village Hotel Sentosa by Far East Hospitality,Singapore,SG,,,,,,,,,
lp65547954,The Clan Hotel Singapore by Far East Hospitality,Singapore,SG,,,,,,,,,
