keyword,volume,kd,cluster,note
hari raya 2026,36000,8,seasonal-raya,pSEO-hariraya-optimize
hari raya puasa 2026,13000,2,seasonal-raya,pSEO
hari raya haji,8800,3,seasonal-raya,new-post
hari raya,7900,33,seasonal-raya,pSEO
hari raya haji 2026,5600,9,seasonal-raya,new-post
hari raya 2026 singapore,4200,0,seasonal-raya,pSEO
when is hari raya 2026,3200,8,seasonal-raya,section
doa buka puasa,3200,0,seasonal-ramadan,new-post
zakat fitrah 2026,3000,0,seasonal-zakat,new-post
iftar,1900,7,seasonal-ramadan,pSEO-ramadan
zakat,1600,24,seasonal-zakat,new-post
hari raya haji 2026 singapore,3200,0,seasonal-raya,new-post
hari raya puasa 2026 singapore,1500,0,seasonal-raya,pSEO
sahur,1100,3,seasonal-ramadan,section
iftar time today,1000,0,seasonal-ramadan,tool
niat buka puasa,1000,0,seasonal-ramadan,section
doa buka puasa ramadhan,1000,0,seasonal-ramadan,section
zakat fitrah,800,0,seasonal-zakat,new-post
zakat sg,700,0,seasonal-zakat,new-post
buka puasa time,700,0,seasonal-ramadan,tool
iftar time singapore,600,1,seasonal-ramadan,tool
zakat calculator,500,3,seasonal-zakat,tool
muis zakat,500,0,seasonal-zakat,section
korban 2026,300,0,seasonal-raya,new-post
halal zi char singapore,100,0,hawker,new-post
halal zi char,100,0,hawker,new-post
halal food court near me,60,0,hawker,section
halal hawker centre near me,40,0,hawker,section
