name,category,area,address,postal,phone,website,description,price_level,halal,attributes,photo_url,lat,lng
Poulet (ION Orchard),Restaurant,Orchard,,,,,"French rotisserie chicken — MUIS halal-certified chain. VERIFY the current ION outlet + valid certificate before import.",$$,muis-certified,"halal,dine-in",,,
EXAMPLE — replace with a verified halal outlet at ION Orchard,Restaurant,Orchard,,,,,"Placeholder. Need >=3 real published listings with area=Orchard for /halal-food/ion-orchard to index.",,muis-certified,,,,
EXAMPLE — replace with a verified halal outlet at Marina Bay Sands,Restaurant,Marina Bay,,,,,"Placeholder. area MUST match the venue match token (Marina Bay / Marina Square) set in lib/seo-pages.ts.",,muis-certified,,,,
EXAMPLE — replace with a verified halal outlet at Marina Bay Sands,Cafe,Marina Bay,,,,,"Placeholder — need >=3 for /halal-food/marina-bay-sands to index.",,muslim-friendly,,,,
Poulet (Parkway Parade),Restaurant,Marine Parade,,,,,"French rotisserie chicken — MUIS halal-certified chain. VERIFY the current Parkway Parade outlet + certificate.",$$,muis-certified,"halal,dine-in",,,
EXAMPLE — replace with a verified halal outlet at Parkway Parade,Restaurant,Marine Parade,,,,,"Placeholder — need >=3 for /halal-food/parkway-parade to index.",,muslim-owned,,,,
Poulet (Raffles City),Restaurant,City Hall,,,,,"French rotisserie chicken — MUIS halal-certified chain (Raffles City listed among outlets). VERIFY current certificate.",$$,muis-certified,"halal,dine-in",,,
The Soup Spoon (Raffles City),Cafe,City Hall,,,,,"MUIS halal-certified soup chain (all outlets certified since 2019). VERIFY the current Raffles City outlet.",$,muis-certified,"halal,dine-in",,,
EXAMPLE — replace with a verified halal outlet at Raffles City,Restaurant,City Hall,,,,,"Placeholder — need >=3 for /halal-food/raffles-city to index.",,muis-certified,,,,
EXAMPLE — replace with a verified halal outlet at The Star Vista,Restaurant,Buona Vista,,,,,"Placeholder. area MUST match the venue match token (Buona Vista / Holland Village).",,muis-certified,,,,
EXAMPLE — replace with a verified halal outlet at The Star Vista,Cafe,Buona Vista,,,,,"Placeholder — need >=3 for /halal-food/star-vista to index.",,muslim-friendly,,,,
EXAMPLE — verified halal outlet at City Hall / Raffles City area,Restaurant,City Hall,,,,,"Placeholder — area token for /halal-food/city-hall and /halal-food/raffles-city and /halal-food/esplanade.",,muis-certified,,,,
EXAMPLE — verified halal outlet at Chinatown,Restaurant,Chinatown,,,,,"Placeholder — area token for /halal-food/chinatown.",,muslim-owned,,,,
EXAMPLE — verified halal outlet at Tanjong Pagar,Restaurant,Tanjong Pagar,,,,,"Placeholder — area token for /halal-food/tanjong-pagar.",,muis-certified,,,,
EXAMPLE — verified halal outlet at Somerset,Cafe,Somerset,,,,,"Placeholder — area token for /halal-food/somerset (also matches Orchard).",,muis-certified,,,,
EXAMPLE — verified halal outlet at HarbourFront,Restaurant,HarbourFront,,,,,"Placeholder — area token for /halal-food/harbourfront (VivoCity gateway).",,muis-certified,,,,
EXAMPLE — verified halal outlet at Toa Payoh,Restaurant,Toa Payoh,,,,,"Placeholder — area token for /halal-food/toa-payoh.",,muslim-owned,,,,
EXAMPLE — verified halal outlet at Raffles Place,Restaurant,Raffles Place,,,,,"Placeholder — area token for /halal-food/raffles-place.",,muis-certified,,,,
EXAMPLE — verified halal outlet at Downtown East (Pasir Ris),Restaurant,Pasir Ris,,,,,"Placeholder — area token for /halal-food/downtown-east.",,muis-certified,,,,
EXAMPLE — verified halal outlet at Great World City,Cafe,Great World,,,,,"Placeholder — area token for /halal-food/great-world-city.",,muis-certified,,,,
EXAMPLE — verified halal outlet at Hillion Mall (Bukit Panjang),Restaurant,Bukit Panjang,,,,,"Placeholder — area token for /halal-food/hillion-mall.",,muis-certified,,,,
EXAMPLE — verified halal outlet at Junction 8 (Bishan),Restaurant,Bishan,,,,,"Placeholder — area token for /halal-food/junction-8.",,muis-certified,,,,
EXAMPLE — verified halal outlet at Tiong Bahru Plaza,Restaurant,Tiong Bahru,,,,,"Placeholder — area token for /halal-food/tiong-bahru-plaza.",,muis-certified,,,,
EXAMPLE — verified halal outlet at Wisma Geylang Serai,Restaurant,Geylang Serai,,,,,"Placeholder — area token for /halal-food/wisma-geylang-serai (Geylang Serai is heavily Muslim-run).",,muslim-owned,,,,
